18:00:39.120 [XNIO-1 task-1]  -1Uc2lwuTU22Urz_BEBF1g DEBUG com.networknt.schema.TypeValidator debug - validate( "b625893d", "b625893d", userId)
18:00:39.553 [XNIO-1 task-1]  JzJ6Vb89TU6jfiNXFMFmUA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:39.553 [XNIO-1 task-1]  JzJ6Vb89TU6jfiNXFMFmUA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:39.619 [XNIO-1 task-1]  MS5Ds1gvQNGBRZaMhkgp1A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/7f5684ee, base path is set to: null
18:00:39.620 [XNIO-1 task-1]  MS5Ds1gvQNGBRZaMhkgp1A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:39.620 [XNIO-1 task-1]  MS5Ds1gvQNGBRZaMhkgp1A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
18:00:39.620 [XNIO-1 task-1]  MS5Ds1gvQNGBRZaMhkgp1A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/7f5684ee, base path is set to: null
18:00:39.621 [XNIO-1 task-1]  MS5Ds1gvQNGBRZaMhkgp1A DEBUG com.networknt.schema.TypeValidator debug - validate( "7f5684ee", "7f5684ee", userId)
18:00:39.637 [XNIO-1 task-1]  O80FTxJ7SYyrVWgUULEHtA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.637 [XNIO-1 task-1]  O80FTxJ7SYyrVWgUULEHtA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.637 [XNIO-1 task-1]  O80FTxJ7SYyrVWgUULEHtA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.638 [XNIO-1 task-1]  O80FTxJ7SYyrVWgUULEHtA DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
18:00:39.651 [XNIO-1 task-1]  7SsRthENTt-G-50ihwBN9w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.652 [XNIO-1 task-1]  7SsRthENTt-G-50ihwBN9w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.652 [XNIO-1 task-1]  7SsRthENTt-G-50ihwBN9w DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.653 [XNIO-1 task-1]  7SsRthENTt-G-50ihwBN9w DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
18:00:39.686 [XNIO-1 task-1]  Vk2eaX1hQ32M3cHZAE2ceA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.686 [XNIO-1 task-1]  Vk2eaX1hQ32M3cHZAE2ceA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.686 [XNIO-1 task-1]  Vk2eaX1hQ32M3cHZAE2ceA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.687 [XNIO-1 task-1]  Vk2eaX1hQ32M3cHZAE2ceA DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
18:00:39.738 [XNIO-1 task-1]  3YJhyebWQLyjMC5VyDgIVA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.738 [XNIO-1 task-1]  3YJhyebWQLyjMC5VyDgIVA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.739 [XNIO-1 task-1]  3YJhyebWQLyjMC5VyDgIVA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.739 [XNIO-1 task-1]  3YJhyebWQLyjMC5VyDgIVA DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
18:00:39.752 [XNIO-1 task-1]  Fpm_sFzFSjeHVcpleKA1ww DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.752 [XNIO-1 task-1]  Fpm_sFzFSjeHVcpleKA1ww DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.753 [XNIO-1 task-1]  Fpm_sFzFSjeHVcpleKA1ww DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.790 [XNIO-1 task-1]  gEVPUqsuS6uDNNtu3bN4vg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/50365e56
18:00:39.790 [XNIO-1 task-1]  gEVPUqsuS6uDNNtu3bN4vg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.790 [XNIO-1 task-1]  gEVPUqsuS6uDNNtu3bN4vg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
18:00:39.791 [XNIO-1 task-1]  gEVPUqsuS6uDNNtu3bN4vg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/50365e56
18:00:39.797 [XNIO-1 task-1]  JaRK1iYRRGuqkwae4fSYUA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/50365e56, base path is set to: null
18:00:39.798 [XNIO-1 task-1]  JaRK1iYRRGuqkwae4fSYUA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:39.798 [XNIO-1 task-1]  JaRK1iYRRGuqkwae4fSYUA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
18:00:39.798 [XNIO-1 task-1]  JaRK1iYRRGuqkwae4fSYUA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/50365e56, base path is set to: null
18:00:39.799 [XNIO-1 task-1]  JaRK1iYRRGuqkwae4fSYUA DEBUG com.networknt.schema.TypeValidator debug - validate( "50365e56", "50365e56", userId)
18:00:39.803 [XNIO-1 task-1]  gljlydRYT0u65CZkLn34nA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.803 [XNIO-1 task-1]  gljlydRYT0u65CZkLn34nA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.804 [XNIO-1 task-1]  gljlydRYT0u65CZkLn34nA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.849 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:c70d796d
18:00:39.858 [XNIO-1 task-1]  y540wWzzSPS7hAEQYmAdHA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/50365e56, base path is set to: null
18:00:39.858 [XNIO-1 task-1]  y540wWzzSPS7hAEQYmAdHA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:39.858 [XNIO-1 task-1]  y540wWzzSPS7hAEQYmAdHA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
18:00:39.858 [XNIO-1 task-1]  y540wWzzSPS7hAEQYmAdHA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/50365e56, base path is set to: null
18:00:39.859 [XNIO-1 task-1]  y540wWzzSPS7hAEQYmAdHA DEBUG com.networknt.schema.TypeValidator debug - validate( "50365e56", "50365e56", userId)
18:00:39.863 [XNIO-1 task-1]  gM-QuCj5SKmHbrciknZOZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/c70d796d
18:00:39.863 [XNIO-1 task-1]  gM-QuCj5SKmHbrciknZOZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.865 [XNIO-1 task-1]  gM-QuCj5SKmHbrciknZOZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
18:00:39.865 [XNIO-1 task-1]  gM-QuCj5SKmHbrciknZOZQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/c70d796d
18:00:39.866 [hz._hzInstance_1_dev.partition-operation.thread-7]   DEBUG c.networknt.oauth.cache.UserMapStore delete - Delete:c70d796d
18:00:39.875 [XNIO-1 task-1]  mFNyOkHvQgmscx2JWWi6OA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/50365e56
18:00:39.875 [XNIO-1 task-1]  mFNyOkHvQgmscx2JWWi6OA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.875 [XNIO-1 task-1]  mFNyOkHvQgmscx2JWWi6OA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
18:00:39.875 [XNIO-1 task-1]  mFNyOkHvQgmscx2JWWi6OA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
18:00:39.876 [XNIO-1 task-1]  mFNyOkHvQgmscx2JWWi6OA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/50365e56
18:00:39.877 [XNIO-1 task-1]  mFNyOkHvQgmscx2JWWi6OA DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"1d3b9146-d2e4-447c-a1a6-27a241ab2ed4","newPassword":"98ee8924-5402-4874-9c91-27b7cb44b4e2","newPasswordConfirm":"98ee8924-5402-4874-9c91-27b7cb44b4e2"}, {"password":"1d3b9146-d2e4-447c-a1a6-27a241ab2ed4","newPassword":"98ee8924-5402-4874-9c91-27b7cb44b4e2","newPasswordConfirm":"98ee8924-5402-4874-9c91-27b7cb44b4e2"}, requestBody)
18:00:39.877 [XNIO-1 task-1]  mFNyOkHvQgmscx2JWWi6OA DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"1d3b9146-d2e4-447c-a1a6-27a241ab2ed4","newPassword":"98ee8924-5402-4874-9c91-27b7cb44b4e2","newPasswordConfirm":"98ee8924-5402-4874-9c91-27b7cb44b4e2"}, {"password":"1d3b9146-d2e4-447c-a1a6-27a241ab2ed4","newPassword":"98ee8924-5402-4874-9c91-27b7cb44b4e2","newPasswordConfirm":"98ee8924-5402-4874-9c91-27b7cb44b4e2"}, requestBody)
18:00:39.877 [XNIO-1 task-1]  mFNyOkHvQgmscx2JWWi6OA DEBUG com.networknt.schema.FormatValidator debug - validate( "98ee8924-5402-4874-9c91-27b7cb44b4e2", {"password":"1d3b9146-d2e4-447c-a1a6-27a241ab2ed4","newPassword":"98ee8924-5402-4874-9c91-27b7cb44b4e2","newPasswordConfirm":"98ee8924-5402-4874-9c91-27b7cb44b4e2"}, requestBody.newPasswordConfirm)
18:00:39.877 [XNIO-1 task-1]  mFNyOkHvQgmscx2JWWi6OA DEBUG com.networknt.schema.FormatValidator debug - validate( "1d3b9146-d2e4-447c-a1a6-27a241ab2ed4", {"password":"1d3b9146-d2e4-447c-a1a6-27a241ab2ed4","newPassword":"98ee8924-5402-4874-9c91-27b7cb44b4e2","newPasswordConfirm":"98ee8924-5402-4874-9c91-27b7cb44b4e2"}, requestBody.password)
18:00:39.877 [XNIO-1 task-1]  mFNyOkHvQgmscx2JWWi6OA DEBUG com.networknt.schema.FormatValidator debug - validate( "98ee8924-5402-4874-9c91-27b7cb44b4e2", {"password":"1d3b9146-d2e4-447c-a1a6-27a241ab2ed4","newPassword":"98ee8924-5402-4874-9c91-27b7cb44b4e2","newPasswordConfirm":"98ee8924-5402-4874-9c91-27b7cb44b4e2"}, requestBody.newPassword)
18:00:39.915 [XNIO-1 task-1]  9hH5Vs_bS4e6IzRmaXzs-g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/50365e56
18:00:39.915 [XNIO-1 task-1]  9hH5Vs_bS4e6IzRmaXzs-g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.916 [XNIO-1 task-1]  9hH5Vs_bS4e6IzRmaXzs-g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
18:00:39.916 [XNIO-1 task-1]  9hH5Vs_bS4e6IzRmaXzs-g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
18:00:39.916 [XNIO-1 task-1]  9hH5Vs_bS4e6IzRmaXzs-g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/50365e56
18:00:39.917 [XNIO-1 task-1]  9hH5Vs_bS4e6IzRmaXzs-g DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"98ee8924-5402-4874-9c91-27b7cb44b4e2","newPassword":"d6f0d3e7-1159-4042-93e7-ae9a47b93145","newPasswordConfirm":"d6f0d3e7-1159-4042-93e7-ae9a47b93145"}, {"password":"98ee8924-5402-4874-9c91-27b7cb44b4e2","newPassword":"d6f0d3e7-1159-4042-93e7-ae9a47b93145","newPasswordConfirm":"d6f0d3e7-1159-4042-93e7-ae9a47b93145"}, requestBody)
18:00:39.918 [XNIO-1 task-1]  9hH5Vs_bS4e6IzRmaXzs-g DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"98ee8924-5402-4874-9c91-27b7cb44b4e2","newPassword":"d6f0d3e7-1159-4042-93e7-ae9a47b93145","newPasswordConfirm":"d6f0d3e7-1159-4042-93e7-ae9a47b93145"}, {"password":"98ee8924-5402-4874-9c91-27b7cb44b4e2","newPassword":"d6f0d3e7-1159-4042-93e7-ae9a47b93145","newPasswordConfirm":"d6f0d3e7-1159-4042-93e7-ae9a47b93145"}, requestBody)
18:00:39.918 [XNIO-1 task-1]  9hH5Vs_bS4e6IzRmaXzs-g DEBUG com.networknt.schema.FormatValidator debug - validate( "d6f0d3e7-1159-4042-93e7-ae9a47b93145", {"password":"98ee8924-5402-4874-9c91-27b7cb44b4e2","newPassword":"d6f0d3e7-1159-4042-93e7-ae9a47b93145","newPasswordConfirm":"d6f0d3e7-1159-4042-93e7-ae9a47b93145"}, requestBody.newPasswordConfirm)
18:00:39.918 [XNIO-1 task-1]  9hH5Vs_bS4e6IzRmaXzs-g DEBUG com.networknt.schema.FormatValidator debug - validate( "98ee8924-5402-4874-9c91-27b7cb44b4e2", {"password":"98ee8924-5402-4874-9c91-27b7cb44b4e2","newPassword":"d6f0d3e7-1159-4042-93e7-ae9a47b93145","newPasswordConfirm":"d6f0d3e7-1159-4042-93e7-ae9a47b93145"}, requestBody.password)
18:00:39.918 [XNIO-1 task-1]  9hH5Vs_bS4e6IzRmaXzs-g DEBUG com.networknt.schema.FormatValidator debug - validate( "d6f0d3e7-1159-4042-93e7-ae9a47b93145", {"password":"98ee8924-5402-4874-9c91-27b7cb44b4e2","newPassword":"d6f0d3e7-1159-4042-93e7-ae9a47b93145","newPasswordConfirm":"d6f0d3e7-1159-4042-93e7-ae9a47b93145"}, requestBody.newPassword)
18:00:39.940 [XNIO-1 task-1]  eq-8Q3aEQNGq7FNQBa6XMA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/50365e56
18:00:39.940 [XNIO-1 task-1]  eq-8Q3aEQNGq7FNQBa6XMA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.941 [XNIO-1 task-1]  eq-8Q3aEQNGq7FNQBa6XMA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
18:00:39.941 [XNIO-1 task-1]  eq-8Q3aEQNGq7FNQBa6XMA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/50365e56
18:00:39.955 [XNIO-1 task-1]  Y_MNysj3QlCwHGcGZGn2hQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:39.956 [XNIO-1 task-1]  Y_MNysj3QlCwHGcGZGn2hQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:39.956 [XNIO-1 task-1]  Y_MNysj3QlCwHGcGZGn2hQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:39.957 [XNIO-1 task-1]  Y_MNysj3QlCwHGcGZGn2hQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
18:00:39.980 [XNIO-1 task-1]  96Ogg8mqSICTsMi0RtGHdQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:39.980 [XNIO-1 task-1]  96Ogg8mqSICTsMi0RtGHdQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:39.981 [XNIO-1 task-1]  96Ogg8mqSICTsMi0RtGHdQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:40.070 [XNIO-1 task-1]  Nraye6v3TDGqfCagO56Blw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/94e92193, base path is set to: null
18:00:40.071 [XNIO-1 task-1]  Nraye6v3TDGqfCagO56Blw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:40.072 [XNIO-1 task-1]  Nraye6v3TDGqfCagO56Blw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
18:00:40.072 [XNIO-1 task-1]  Nraye6v3TDGqfCagO56Blw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/password/{userId}
18:00:40.072 [XNIO-1 task-1]  Nraye6v3TDGqfCagO56Blw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/94e92193, base path is set to: null
18:00:40.073 [XNIO-1 task-1]  Nraye6v3TDGqfCagO56Blw DEBUG com.networknt.schema.TypeValidator debug - validate( "94e92193", "94e92193", userId)
18:00:40.073 [XNIO-1 task-1]  Nraye6v3TDGqfCagO56Blw DEBUG c.networknt.schema.RequiredValidator debug - validate( {"password":"0e23d668-fb64-4325-875c-27089d1d5304","newPassword":"9eba52db-37d0-4f65-91b3-bf6f8c2e5e41","newPasswordConfirm":"9eba52db-37d0-4f65-91b3-bf6f8c2e5e41"}, {"password":"0e23d668-fb64-4325-875c-27089d1d5304","newPassword":"9eba52db-37d0-4f65-91b3-bf6f8c2e5e41","newPasswordConfirm":"9eba52db-37d0-4f65-91b3-bf6f8c2e5e41"}, requestBody)
18:00:40.073 [XNIO-1 task-1]  Nraye6v3TDGqfCagO56Blw DEBUG com.networknt.schema.TypeValidator debug - validate( "9eba52db-37d0-4f65-91b3-bf6f8c2e5e41", {"password":"0e23d668-fb64-4325-875c-27089d1d5304","newPassword":"9eba52db-37d0-4f65-91b3-bf6f8c2e5e41","newPasswordConfirm":"9eba52db-37d0-4f65-91b3-bf6f8c2e5e41"}, requestBody.newPasswordConfirm)
18:00:40.073 [XNIO-1 task-1]  Nraye6v3TDGqfCagO56Blw DEBUG com.networknt.schema.TypeValidator debug - validate( "0e23d668-fb64-4325-875c-27089d1d5304", {"password":"0e23d668-fb64-4325-875c-27089d1d5304","newPassword":"9eba52db-37d0-4f65-91b3-bf6f8c2e5e41","newPasswordConfirm":"9eba52db-37d0-4f65-91b3-bf6f8c2e5e41"}, requestBody.password)
