17:00:39.530 [XNIO-1 task-1]  3hlNntToQtOm73AOXr4kRQ DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"1d79fe08-ee9f-4141-b856-5c00f4cf7319","newPassword":"1df58163-41bc-4d70-893a-29d3b5c59b62","newPasswordConfirm":"1df58163-41bc-4d70-893a-29d3b5c59b62"}, {"password":"1d79fe08-ee9f-4141-b856-5c00f4cf7319","newPassword":"1df58163-41bc-4d70-893a-29d3b5c59b62","newPasswordConfirm":"1df58163-41bc-4d70-893a-29d3b5c59b62"}, requestBody)
17:00:39.564 [XNIO-1 task-1]  Lz4r8SW2RsSP5JcUYBKWKw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
17:00:39.565 [XNIO-1 task-1]  Lz4r8SW2RsSP5JcUYBKWKw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/91cbd1ea, base path is set to: null
17:00:39.567 [XNIO-1 task-1]  Lz4r8SW2RsSP5JcUYBKWKw DEBUG com.networknt.schema.TypeValidator debug - validate( "91cbd1ea", "91cbd1ea", userId)
17:00:39.607 [XNIO-1 task-2]  EG3G3JQaRz2w7j5y3UpeKA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:39.607 [XNIO-1 task-2]  EG3G3JQaRz2w7j5y3UpeKA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:39.607 [XNIO-1 task-2]  EG3G3JQaRz2w7j5y3UpeKA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:39.608 [XNIO-1 task-2]  EG3G3JQaRz2w7j5y3UpeKA DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
17:00:39.672 [XNIO-1 task-2]  8Nt9Eth7TdSeo2TV0SVvWw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:39.672 [XNIO-1 task-2]  8Nt9Eth7TdSeo2TV0SVvWw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:39.673 [XNIO-1 task-2]  8Nt9Eth7TdSeo2TV0SVvWw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:39.774 [XNIO-1 task-2]  SMSnPV_-Tmezwk1W2MrZQg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:39.774 [XNIO-1 task-2]  SMSnPV_-Tmezwk1W2MrZQg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:39.774 [XNIO-1 task-2]  SMSnPV_-Tmezwk1W2MrZQg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:39.775 [XNIO-1 task-2]  SMSnPV_-Tmezwk1W2MrZQg DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
17:00:39.826 [XNIO-1 task-2]  8wdH8GhVRBaYEYmLn1p_Jg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/58503681, base path is set to: null
17:00:39.826 [XNIO-1 task-2]  8wdH8GhVRBaYEYmLn1p_Jg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:39.826 [XNIO-1 task-2]  8wdH8GhVRBaYEYmLn1p_Jg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
17:00:39.826 [XNIO-1 task-2]  8wdH8GhVRBaYEYmLn1p_Jg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/58503681, base path is set to: null
17:00:39.827 [XNIO-1 task-2]  8wdH8GhVRBaYEYmLn1p_Jg DEBUG com.networknt.schema.TypeValidator debug - validate( "58503681", "58503681", userId)
17:00:39.863 [XNIO-1 task-2]  bT40yl92QaSyDywaaScqzQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:39.863 [XNIO-1 task-2]  bT40yl92QaSyDywaaScqzQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:39.864 [XNIO-1 task-2]  bT40yl92QaSyDywaaScqzQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:39.864 [XNIO-1 task-2]  bT40yl92QaSyDywaaScqzQ DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
17:00:39.880 [XNIO-1 task-2]  BbegZCzaTFCbM9A83FlR5Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:39.880 [XNIO-1 task-2]  BbegZCzaTFCbM9A83FlR5Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:39.880 [XNIO-1 task-2]  BbegZCzaTFCbM9A83FlR5Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:39.958 [XNIO-1 task-2]  tKbQLRUvT7qLPr1RKOiH4g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/2a543086
17:00:39.958 [XNIO-1 task-2]  tKbQLRUvT7qLPr1RKOiH4g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:39.958 [XNIO-1 task-2]  tKbQLRUvT7qLPr1RKOiH4g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
17:00:39.958 [XNIO-1 task-2]  tKbQLRUvT7qLPr1RKOiH4g DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/2a543086
17:00:39.967 [XNIO-1 task-2]  k_m1Bk1iTzGUrlloYEpclQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:39.968 [XNIO-1 task-2]  k_m1Bk1iTzGUrlloYEpclQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:39.968 [XNIO-1 task-2]  k_m1Bk1iTzGUrlloYEpclQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:39.969 [XNIO-1 task-2]  k_m1Bk1iTzGUrlloYEpclQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
17:00:39.976 [XNIO-1 task-2]  ytCqVHcBSjqD-ewX7XTKNQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:39.976 [XNIO-1 task-2]  ytCqVHcBSjqD-ewX7XTKNQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:39.977 [XNIO-1 task-2]  ytCqVHcBSjqD-ewX7XTKNQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:39.977 [XNIO-1 task-2]  ytCqVHcBSjqD-ewX7XTKNQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
17:00:40.021 [XNIO-1 task-2]  BnyhTGjhQdyPwqTuGm2kLA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:40.022 [XNIO-1 task-2]  BnyhTGjhQdyPwqTuGm2kLA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:40.022 [XNIO-1 task-2]  BnyhTGjhQdyPwqTuGm2kLA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:40.047 [hz._hzInstance_1_dev.partition-operation.thread-2]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:f18f948c
17:00:40.049 [hz._hzInstance_1_dev.partition-operation.thread-2]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:f18f948c
17:00:40.061 [XNIO-1 task-2]  5c1MF8N5TBCZniZuYDaCmg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:40.061 [XNIO-1 task-2]  5c1MF8N5TBCZniZuYDaCmg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:40.061 [XNIO-1 task-2]  5c1MF8N5TBCZniZuYDaCmg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:40.062 [XNIO-1 task-2]  5c1MF8N5TBCZniZuYDaCmg DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
17:00:40.098 [XNIO-1 task-2]  kmdJE96RSBGhrmYjzjx6_A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/f18f948c
17:00:40.099 [XNIO-1 task-2]  kmdJE96RSBGhrmYjzjx6_A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:40.099 [XNIO-1 task-2]  kmdJE96RSBGhrmYjzjx6_A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
17:00:40.099 [XNIO-1 task-2]  kmdJE96RSBGhrmYjzjx6_A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/f18f948c
17:00:40.100 [hz._hzInstance_1_dev.partition-operation.thread-2]   DEBUG c.networknt.oauth.cache.UserMapStore delete - Delete:f18f948c
17:00:40.108 [XNIO-1 task-2]  k3pclo67SLK_4LAvU3gmcw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:40.108 [XNIO-1 task-2]  k3pclo67SLK_4LAvU3gmcw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:40.109 [XNIO-1 task-2]  k3pclo67SLK_4LAvU3gmcw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:40.246 [XNIO-1 task-2]  dDqCOrXSTTWiuRqn3lO11A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/f0c69d83
17:00:40.246 [XNIO-1 task-2]  dDqCOrXSTTWiuRqn3lO11A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:40.246 [XNIO-1 task-2]  dDqCOrXSTTWiuRqn3lO11A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
17:00:40.246 [XNIO-1 task-2]  dDqCOrXSTTWiuRqn3lO11A DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/f0c69d83
17:00:40.259 [XNIO-1 task-2]  FpUqL2vCRSuEK1GWcnci4g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:40.259 [XNIO-1 task-2]  FpUqL2vCRSuEK1GWcnci4g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:40.260 [XNIO-1 task-2]  FpUqL2vCRSuEK1GWcnci4g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:40.380 [XNIO-1 task-2]  Jtwz7EfeQEa4A59E23LUew DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/bf30325b, base path is set to: null
17:00:40.380 [XNIO-1 task-2]  Jtwz7EfeQEa4A59E23LUew DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:40.380 [XNIO-1 task-2]  Jtwz7EfeQEa4A59E23LUew DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
17:00:40.380 [XNIO-1 task-2]  Jtwz7EfeQEa4A59E23LUew DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/password/{userId}
17:00:40.381 [XNIO-1 task-2]  Jtwz7EfeQEa4A59E23LUew DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/bf30325b, base path is set to: null
17:00:40.381 [XNIO-1 task-2]  Jtwz7EfeQEa4A59E23LUew DEBUG com.networknt.schema.TypeValidator debug - validate( "bf30325b", "bf30325b", userId)
17:00:40.382 [XNIO-1 task-2]  Jtwz7EfeQEa4A59E23LUew DEBUG c.networknt.schema.RequiredValidator debug - validate( {"password":"01c462c2-57aa-4d40-8f8b-88a7cfe8aa16","newPassword":"74f111d0-71a7-4126-a4f0-b58d4a54914a","newPasswordConfirm":"74f111d0-71a7-4126-a4f0-b58d4a54914a"}, {"password":"01c462c2-57aa-4d40-8f8b-88a7cfe8aa16","newPassword":"74f111d0-71a7-4126-a4f0-b58d4a54914a","newPasswordConfirm":"74f111d0-71a7-4126-a4f0-b58d4a54914a"}, requestBody)
17:00:40.382 [XNIO-1 task-2]  Jtwz7EfeQEa4A59E23LUew DEBUG com.networknt.schema.TypeValidator debug - validate( "74f111d0-71a7-4126-a4f0-b58d4a54914a", {"password":"01c462c2-57aa-4d40-8f8b-88a7cfe8aa16","newPassword":"74f111d0-71a7-4126-a4f0-b58d4a54914a","newPasswordConfirm":"74f111d0-71a7-4126-a4f0-b58d4a54914a"}, requestBody.newPasswordConfirm)
17:00:40.382 [XNIO-1 task-2]  Jtwz7EfeQEa4A59E23LUew DEBUG com.networknt.schema.TypeValidator debug - validate( "01c462c2-57aa-4d40-8f8b-88a7cfe8aa16", {"password":"01c462c2-57aa-4d40-8f8b-88a7cfe8aa16","newPassword":"74f111d0-71a7-4126-a4f0-b58d4a54914a","newPasswordConfirm":"74f111d0-71a7-4126-a4f0-b58d4a54914a"}, requestBody.password)
17:00:40.382 [XNIO-1 task-2]  Jtwz7EfeQEa4A59E23LUew DEBUG com.networknt.schema.TypeValidator debug - validate( "74f111d0-71a7-4126-a4f0-b58d4a54914a", {"password":"01c462c2-57aa-4d40-8f8b-88a7cfe8aa16","newPassword":"74f111d0-71a7-4126-a4f0-b58d4a54914a","newPasswordConfirm":"74f111d0-71a7-4126-a4f0-b58d4a54914a"}, requestBody.newPassword)
17:00:40.405 [XNIO-1 task-2]  -y2f-WhBQ1WSuG40_DzvuA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/f0c69d83, base path is set to: null
17:00:40.405 [XNIO-1 task-2]  -y2f-WhBQ1WSuG40_DzvuA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:40.405 [XNIO-1 task-2]  -y2f-WhBQ1WSuG40_DzvuA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
17:00:40.405 [XNIO-1 task-2]  -y2f-WhBQ1WSuG40_DzvuA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/f0c69d83, base path is set to: null
17:00:40.406 [XNIO-1 task-2]  -y2f-WhBQ1WSuG40_DzvuA DEBUG com.networknt.schema.TypeValidator debug - validate( "f0c69d83", "f0c69d83", userId)
17:00:40.437 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:ab783464
17:00:40.499 [XNIO-1 task-2]  CfuTcjNvRxK0CqHOKRPTLg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:40.499 [XNIO-1 task-2]  CfuTcjNvRxK0CqHOKRPTLg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:40.499 [XNIO-1 task-2]  CfuTcjNvRxK0CqHOKRPTLg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:40.500 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.n.o.cache.ServiceEndpointMapStore delete - Delete:ab783464
17:00:40.548 [XNIO-1 task-2]  s7HWB0zpQ9yq9AOyK_uGHA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/35fbae9c, base path is set to: null
17:00:40.548 [XNIO-1 task-2]  s7HWB0zpQ9yq9AOyK_uGHA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:40.548 [XNIO-1 task-2]  s7HWB0zpQ9yq9AOyK_uGHA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
17:00:40.549 [XNIO-1 task-2]  s7HWB0zpQ9yq9AOyK_uGHA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/password/{userId}
17:00:40.550 [XNIO-1 task-2]  s7HWB0zpQ9yq9AOyK_uGHA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/35fbae9c, base path is set to: null
17:00:40.551 [XNIO-1 task-2]  s7HWB0zpQ9yq9AOyK_uGHA DEBUG com.networknt.schema.TypeValidator debug - validate( "35fbae9c", "35fbae9c", userId)
17:00:40.551 [XNIO-1 task-2]  s7HWB0zpQ9yq9AOyK_uGHA DEBUG c.networknt.schema.RequiredValidator debug - validate( {"password":"6b2658cb-c3af-4177-a657-e6b3cbe9d059","newPassword":"c59056ec-2cec-46b2-b401-587ab00278b7","newPasswordConfirm":"c59056ec-2cec-46b2-b401-587ab00278b7"}, {"password":"6b2658cb-c3af-4177-a657-e6b3cbe9d059","newPassword":"c59056ec-2cec-46b2-b401-587ab00278b7","newPasswordConfirm":"c59056ec-2cec-46b2-b401-587ab00278b7"}, requestBody)
17:00:40.552 [XNIO-1 task-2]  s7HWB0zpQ9yq9AOyK_uGHA DEBUG com.networknt.schema.TypeValidator debug - validate( "c59056ec-2cec-46b2-b401-587ab00278b7", {"password":"6b2658cb-c3af-4177-a657-e6b3cbe9d059","newPassword":"c59056ec-2cec-46b2-b401-587ab00278b7","newPasswordConfirm":"c59056ec-2cec-46b2-b401-587ab00278b7"}, requestBody.newPasswordConfirm)
17:00:40.552 [XNIO-1 task-2]  s7HWB0zpQ9yq9AOyK_uGHA DEBUG com.networknt.schema.TypeValidator debug - validate( "6b2658cb-c3af-4177-a657-e6b3cbe9d059", {"password":"6b2658cb-c3af-4177-a657-e6b3cbe9d059","newPassword":"c59056ec-2cec-46b2-b401-587ab00278b7","newPasswordConfirm":"c59056ec-2cec-46b2-b401-587ab00278b7"}, requestBody.password)
17:00:40.552 [XNIO-1 task-2]  s7HWB0zpQ9yq9AOyK_uGHA DEBUG com.networknt.schema.TypeValidator debug - validate( "c59056ec-2cec-46b2-b401-587ab00278b7", {"password":"6b2658cb-c3af-4177-a657-e6b3cbe9d059","newPassword":"c59056ec-2cec-46b2-b401-587ab00278b7","newPasswordConfirm":"c59056ec-2cec-46b2-b401-587ab00278b7"}, requestBody.newPassword)
17:00:40.589 [XNIO-1 task-2]  UQpEc8PETgmSk1WvQkRKVw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/35fbae9c, base path is set to: null
17:00:40.590 [XNIO-1 task-2]  UQpEc8PETgmSk1WvQkRKVw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:40.590 [XNIO-1 task-2]  UQpEc8PETgmSk1WvQkRKVw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
17:00:40.590 [XNIO-1 task-2]  UQpEc8PETgmSk1WvQkRKVw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/35fbae9c, base path is set to: null
17:00:40.591 [XNIO-1 task-2]  UQpEc8PETgmSk1WvQkRKVw DEBUG com.networknt.schema.TypeValidator debug - validate( "35fbae9c", "35fbae9c", userId)
17:00:40.596 [XNIO-1 task-2]  3Gp2OMl_QvWq7BtBWPHCCw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/bf30325b
17:00:40.596 [XNIO-1 task-2]  3Gp2OMl_QvWq7BtBWPHCCw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:40.597 [XNIO-1 task-2]  3Gp2OMl_QvWq7BtBWPHCCw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
17:00:40.598 [XNIO-1 task-2]  3Gp2OMl_QvWq7BtBWPHCCw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/bf30325b
17:00:40.616 [XNIO-1 task-2]  G4e_MV9ZSwKAv3S5X6bOIw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:40.616 [XNIO-1 task-2]  G4e_MV9ZSwKAv3S5X6bOIw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:40.617 [XNIO-1 task-2]  G4e_MV9ZSwKAv3S5X6bOIw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:40.667 [XNIO-1 task-2]  11lA0WM9QoeZzen376tfeQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:40.668 [XNIO-1 task-2]  11lA0WM9QoeZzen376tfeQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:40.668 [XNIO-1 task-2]  11lA0WM9QoeZzen376tfeQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:40.669 [XNIO-1 task-2]  11lA0WM9QoeZzen376tfeQ DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
17:00:40.684 [XNIO-1 task-2]  Jxy_TOJ9TZ6Yn8V_lTAp3A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/35fbae9c, base path is set to: null
17:00:40.688 [XNIO-1 task-2]  Jxy_TOJ9TZ6Yn8V_lTAp3A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
17:00:40.688 [XNIO-1 task-2]  Jxy_TOJ9TZ6Yn8V_lTAp3A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
17:00:40.688 [XNIO-1 task-2]  Jxy_TOJ9TZ6Yn8V_lTAp3A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/password/{userId}
17:00:40.689 [XNIO-1 task-2]  Jxy_TOJ9TZ6Yn8V_lTAp3A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/35fbae9c, base path is set to: null
17:00:40.689 [XNIO-1 task-2]  Jxy_TOJ9TZ6Yn8V_lTAp3A DEBUG com.networknt.schema.TypeValidator debug - validate( "35fbae9c", "35fbae9c", userId)
17:00:40.690 [XNIO-1 task-2]  Jxy_TOJ9TZ6Yn8V_lTAp3A DEBUG c.networknt.schema.RequiredValidator debug - validate( {"password":"c59056ec-2cec-46b2-b401-587ab00278b7","newPassword":"adcd0927-9288-4e28-b2f2-9f1cf816b58a","newPasswordConfirm":"adcd0927-9288-4e28-b2f2-9f1cf816b58a"}, {"password":"c59056ec-2cec-46b2-b401-587ab00278b7","newPassword":"adcd0927-9288-4e28-b2f2-9f1cf816b58a","newPasswordConfirm":"adcd0927-9288-4e28-b2f2-9f1cf816b58a"}, requestBody)
17:00:40.690 [XNIO-1 task-2]  Jxy_TOJ9TZ6Yn8V_lTAp3A DEBUG com.networknt.schema.TypeValidator debug - validate( "adcd0927-9288-4e28-b2f2-9f1cf816b58a", {"password":"c59056ec-2cec-46b2-b401-587ab00278b7","newPassword":"adcd0927-9288-4e28-b2f2-9f1cf816b58a","newPasswordConfirm":"adcd0927-9288-4e28-b2f2-9f1cf816b58a"}, requestBody.newPasswordConfirm)
17:00:40.691 [XNIO-1 task-2]  Jxy_TOJ9TZ6Yn8V_lTAp3A DEBUG com.networknt.schema.TypeValidator debug - validate( "c59056ec-2cec-46b2-b401-587ab00278b7", {"password":"c59056ec-2cec-46b2-b401-587ab00278b7","newPassword":"adcd0927-9288-4e28-b2f2-9f1cf816b58a","newPasswordConfirm":"adcd0927-9288-4e28-b2f2-9f1cf816b58a"}, requestBody.password)
17:00:40.691 [XNIO-1 task-2]  Jxy_TOJ9TZ6Yn8V_lTAp3A DEBUG com.networknt.schema.TypeValidator debug - validate( "adcd0927-9288-4e28-b2f2-9f1cf816b58a", {"password":"c59056ec-2cec-46b2-b401-587ab00278b7","newPassword":"adcd0927-9288-4e28-b2f2-9f1cf816b58a","newPasswordConfirm":"adcd0927-9288-4e28-b2f2-9f1cf816b58a"}, requestBody.newPassword)
17:00:40.721 [XNIO-1 task-2]  mosNvF-OQe-abNukNasa6w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
17:00:40.721 [XNIO-1 task-2]  mosNvF-OQe-abNukNasa6w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
