09:02:57.861 [XNIO-1 task-1]  mqU8l2_HRRyR5Jin7mg9uQ DEBUG com.networknt.schema.TypeValidator debug - validate( "920f67ac-061d-4f4f-91a4-e92bcfcb4ccc", {"password":"a54c83b5-79b9-4b55-8de6-bb90a71761ea","newPassword":"920f67ac-061d-4f4f-91a4-e92bcfcb4ccc","newPasswordConfirm":"920f67ac-061d-4f4f-91a4-e92bcfcb4ccc"}, requestBody.newPassword)
09:02:58.049 [XNIO-1 task-1]  qEmQaWp9Tui5lR_OzKNR8A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:02:58.049 [XNIO-1 task-1]  qEmQaWp9Tui5lR_OzKNR8A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/951fcb1f, base path is set to: null
09:02:58.049 [XNIO-1 task-1]  qEmQaWp9Tui5lR_OzKNR8A DEBUG com.networknt.schema.TypeValidator debug - validate( "951fcb1f", "951fcb1f", userId)
09:02:58.052 [XNIO-1 task-1]  4VZQ9afZT2KzEruscQpsew DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/d02002f5
09:02:58.052 [XNIO-1 task-1]  4VZQ9afZT2KzEruscQpsew DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.052 [XNIO-1 task-1]  4VZQ9afZT2KzEruscQpsew DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:02:58.052 [XNIO-1 task-1]  4VZQ9afZT2KzEruscQpsew DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
09:02:58.053 [XNIO-1 task-1]  4VZQ9afZT2KzEruscQpsew DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/d02002f5
09:02:58.053 [XNIO-1 task-1]  4VZQ9afZT2KzEruscQpsew DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"ec013f25-e0b1-43d4-801c-89ae6f68c223","newPassword":"2b07d197-0164-461c-b878-0d171448b5f4","newPasswordConfirm":"2b07d197-0164-461c-b878-0d171448b5f4"}, {"password":"ec013f25-e0b1-43d4-801c-89ae6f68c223","newPassword":"2b07d197-0164-461c-b878-0d171448b5f4","newPasswordConfirm":"2b07d197-0164-461c-b878-0d171448b5f4"}, requestBody)
09:02:58.053 [XNIO-1 task-1]  4VZQ9afZT2KzEruscQpsew DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"ec013f25-e0b1-43d4-801c-89ae6f68c223","newPassword":"2b07d197-0164-461c-b878-0d171448b5f4","newPasswordConfirm":"2b07d197-0164-461c-b878-0d171448b5f4"}, {"password":"ec013f25-e0b1-43d4-801c-89ae6f68c223","newPassword":"2b07d197-0164-461c-b878-0d171448b5f4","newPasswordConfirm":"2b07d197-0164-461c-b878-0d171448b5f4"}, requestBody)
09:02:58.053 [XNIO-1 task-1]  4VZQ9afZT2KzEruscQpsew DEBUG com.networknt.schema.FormatValidator debug - validate( "2b07d197-0164-461c-b878-0d171448b5f4", {"password":"ec013f25-e0b1-43d4-801c-89ae6f68c223","newPassword":"2b07d197-0164-461c-b878-0d171448b5f4","newPasswordConfirm":"2b07d197-0164-461c-b878-0d171448b5f4"}, requestBody.newPasswordConfirm)
09:02:58.053 [XNIO-1 task-1]  4VZQ9afZT2KzEruscQpsew DEBUG com.networknt.schema.FormatValidator debug - validate( "ec013f25-e0b1-43d4-801c-89ae6f68c223", {"password":"ec013f25-e0b1-43d4-801c-89ae6f68c223","newPassword":"2b07d197-0164-461c-b878-0d171448b5f4","newPasswordConfirm":"2b07d197-0164-461c-b878-0d171448b5f4"}, requestBody.password)
09:02:58.053 [XNIO-1 task-1]  4VZQ9afZT2KzEruscQpsew DEBUG com.networknt.schema.FormatValidator debug - validate( "2b07d197-0164-461c-b878-0d171448b5f4", {"password":"ec013f25-e0b1-43d4-801c-89ae6f68c223","newPassword":"2b07d197-0164-461c-b878-0d171448b5f4","newPasswordConfirm":"2b07d197-0164-461c-b878-0d171448b5f4"}, requestBody.newPassword)
09:02:58.070 [XNIO-1 task-1]  LtDf-OQJRjWzXyT6lSuNLg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/951fcb1f
09:02:58.070 [XNIO-1 task-1]  LtDf-OQJRjWzXyT6lSuNLg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.070 [XNIO-1 task-1]  LtDf-OQJRjWzXyT6lSuNLg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:02:58.070 [XNIO-1 task-1]  LtDf-OQJRjWzXyT6lSuNLg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/951fcb1f
09:02:58.073 [XNIO-1 task-1]  p1QJvsajTriDP10o_XlT6w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:02:58.073 [XNIO-1 task-1]  p1QJvsajTriDP10o_XlT6w DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:58.073 [XNIO-1 task-1]  p1QJvsajTriDP10o_XlT6w DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:02:58.087 [XNIO-1 task-1]  sIghSsCYSaC7bGRVpzPCyw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/4f32aef4, base path is set to: null
09:02:58.087 [XNIO-1 task-1]  sIghSsCYSaC7bGRVpzPCyw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:58.087 [XNIO-1 task-1]  sIghSsCYSaC7bGRVpzPCyw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:02:58.087 [XNIO-1 task-1]  sIghSsCYSaC7bGRVpzPCyw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/password/{userId}
09:02:58.087 [XNIO-1 task-1]  sIghSsCYSaC7bGRVpzPCyw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/4f32aef4, base path is set to: null
09:02:58.087 [XNIO-1 task-1]  sIghSsCYSaC7bGRVpzPCyw DEBUG com.networknt.schema.TypeValidator debug - validate( "4f32aef4", "4f32aef4", userId)
09:02:58.088 [XNIO-1 task-1]  sIghSsCYSaC7bGRVpzPCyw DEBUG c.networknt.schema.RequiredValidator debug - validate( {"password":"e6bec9d6-6698-459a-95b1-e347361ab747","newPassword":"d7d0101f-2948-44cf-a31b-e3bc333d81f2","newPasswordConfirm":"d7d0101f-2948-44cf-a31b-e3bc333d81f2"}, {"password":"e6bec9d6-6698-459a-95b1-e347361ab747","newPassword":"d7d0101f-2948-44cf-a31b-e3bc333d81f2","newPasswordConfirm":"d7d0101f-2948-44cf-a31b-e3bc333d81f2"}, requestBody)
09:02:58.088 [XNIO-1 task-1]  sIghSsCYSaC7bGRVpzPCyw DEBUG com.networknt.schema.TypeValidator debug - validate( "d7d0101f-2948-44cf-a31b-e3bc333d81f2", {"password":"e6bec9d6-6698-459a-95b1-e347361ab747","newPassword":"d7d0101f-2948-44cf-a31b-e3bc333d81f2","newPasswordConfirm":"d7d0101f-2948-44cf-a31b-e3bc333d81f2"}, requestBody.newPasswordConfirm)
